"","NoteValue","Stress","Rest","Lyrics","Break","Rhythm","OTL","COM","ARE","Bar","Position"
"1.159","12","0",".","just",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.75
"1.160","12","1",".","feel",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.833333333333332
"1.161","12","0",".","on",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.916666666666668
"1.162","12","0",".","your",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0
"1.164","4","1",".","babe",".",0.25,"BodakYellow","CardiB","New York","20",0.25
"1.165","12","1",".","my","3",0.0833333333333333,"BodakYellow","CardiB","New York","20",0.333333333333332
"1.166","12","0",".","pus-",".",0.0833333333333333,"BodakYellow","CardiB","New York","20",0.416666666666668
"1.167","12","0",".","-sy",".",0.0833333333333333,"BodakYellow","CardiB","New York","20",0.5
"1.168","12","1",".","feel",".",0.0833333333333333,"BodakYellow","CardiB","New York","20",0.583333333333332
"1.169","12","0",".","like",".",0.0833333333333333,"BodakYellow","CardiB","New York","20",0.666666666666668
"1.170","12","0",".","a",".",0.0833333333333333,"BodakYellow","CardiB","New York","20",0.75
"1.171","4","1",".","lake",".",0.25,"BodakYellow","CardiB","New York","20",0
"1.173","12","1",".","He","3",0.0833333333333333,"BodakYellow","CardiB","New York","21",0.0833333333333321
"1.174","12","0",".","wan-",".",0.0833333333333333,"BodakYellow","CardiB","New York","21",0.166666666666668
"1.175","12","0",".","-na",".",0.0833333333333333,"BodakYellow","CardiB","New York","21",0.25
"1.176","12","1",".","swim",".",0.0833333333333333,"BodakYellow","CardiB","New York","21",0.333333333333332
"1.177","12","0",".","with",".",0.0833333333333333,"BodakYellow","CardiB","New York","21",0.416666666666668
"1.178","12","0",".","his",".",0.0833333333333333,"BodakYellow","CardiB","New York","21",0.5
"1.179","8.","1",".","face",".",0.1875,"BodakYellow","CardiB","New York","21",0.6875
"1.180","16","0",".","I'm","3",0.0625,"BodakYellow","CardiB","New York","21",0.75
"1.181","8","1",".","like",".",0.125,"BodakYellow","CardiB","New York","21",0.875
"1.182","8","1",".","O-",".",0.125,"BodakYellow","CardiB","New York","21",0
"1.184","4","1",".","-kay",".",0.25,"BodakYellow","CardiB","New York","22",0.25
"1.185","12","1",".","I'll","3",0.0833333333333333,"BodakYellow","CardiB","New York","22",0.333333333333332
"1.186","12","0",".","let",".",0.0833333333333333,"BodakYellow","CardiB","New York","22",0.416666666666668
"1.187","12","0",".","him",".",0.0833333333333333,"BodakYellow","CardiB","New York","22",0.5
"1.188","12","1",".","get",".",0.0833333333333333,"BodakYellow","CardiB","New York","22",0.583333333333332
"1.189","12","0",".","what",".",0.0833333333333333,"BodakYellow","CardiB","New York","22",0.666666666666668
"1.190","12","0",".","he",".",0.0833333333333333,"BodakYellow","CardiB","New York","22",0.75
"1.191","4","1",".","want",".",0.25,"BodakYellow","CardiB","New York","22",0
"1.193","12","1",".","he","3",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.0833333333333321
"1.194","12","0",".","buy",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.166666666666668
"1.195","12","0",".","me",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.25
"1.196","12","1",".","Yves",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.333333333333332
"1.197","12","0",".","Saint",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.416666666666668
"1.198","12","0",".","Lau-",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.5
"1.199","4","1",".","-rent",".",0.25,"BodakYellow","CardiB","New York","23",0.75
"1.200","12","1",".","And","3",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.833333333333332
"1.201","12","0",".","the",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0.916666666666668
"1.202","12","0",".","new",".",0.0833333333333333,"BodakYellow","CardiB","New York","23",0
"1.204","4","1",".","whip",".",0.25,"BodakYellow","CardiB","New York","24",0.25
"1.205","12","1",".","when","3",0.0833333333333333,"BodakYellow","CardiB","New York","24",0.333333333333332
"1.206","12","0",".","I",".",0.0833333333333333,"BodakYellow","CardiB","New York","24",0.416666666666668
"1.207","12","0",".","go",".",0.0833333333333333,"BodakYellow","CardiB","New York","24",0.5
"1.208","12","1",".","fast",".",0.0833333333333333,"BodakYellow","CardiB","New York","24",0.583333333333332
"1.209","12","0",".","as",".",0.0833333333333333,"BodakYellow","CardiB","New York","24",0.666666666666668
"1.210","12","0",".","a",".",0.0833333333333333,"BodakYellow","CardiB","New York","24",0.75
"1.211","4","1",".","horse",".",0.25,"BodakYellow","CardiB","New York","24",0
"1.213","12","1",".","I","3",0.0833333333333333,"BodakYellow","CardiB","New York","25",0.0833333333333321
"1.214","12","0",".","got",".",0.0833333333333333,"BodakYellow","CardiB","New York","25",0.166666666666668
"1.215","12","0",".","the",".",0.0833333333333333,"BodakYellow","CardiB","New York","25",0.25
"1.216","12","1",".","trunk",".",0.0833333333333333,"BodakYellow","CardiB","New York","25",0.333333333333332
"1.217","12","0",".","in",".",0.0833333333333333,"BodakYellow","CardiB","New York","25",0.416666666666668
"1.218","12","0",".","the",".",0.0833333333333333,"BodakYellow","CardiB","New York","25",0.5
"1.219","4","1",".","front",".",0.25,"BodakYellow","CardiB","New York","25",0.75
"1.220","8","1",".","I'm","3",0.125,"BodakYellow","CardiB","New York","25",0.875
"1.221","8","0",".","the",".",0.125,"BodakYellow","CardiB","New York","25",0
"1.223","8","1",".","hot-",".",0.125,"BodakYellow","CardiB","New York","26",0.125
"1.224","8","0",".","-test",".",0.125,"BodakYellow","CardiB","New York","26",0.25
"1.225","8","1",".","in",".",0.125,"BodakYellow","CardiB","New York","26",0.375
"1.226","8","0",".","the",".",0.125,"BodakYellow","CardiB","New York","26",0.5
"1.227","4","1",".","street",".",0.25,"BodakYellow","CardiB","New York","26",0.75
"1.228","8","1",".","know","3",0.125,"BodakYellow","CardiB","New York","26",0.875
"1.229","8","0",".","you",".",0.125,"BodakYellow","CardiB","New York","26",0
"1.231","8","1",".","prol-",".",0.125,"BodakYellow","CardiB","New York","27",0.125
"1.232","8","0",".","-ly",".",0.125,"BodakYellow","CardiB","New York","27",0.25
"1.233","8","1",".","heard",".",0.125,"BodakYellow","CardiB","New York","27",0.375
"1.234","8","0",".","of",".",0.125,"BodakYellow","CardiB","New York","27",0.5
"1.235","4","1",".","me",".",0.25,"BodakYellow","CardiB","New York","27",0.75
"1.236","8","1",".","Got","3",0.125,"BodakYellow","CardiB","New York","27",0.875
"1.237","8","0",".","a",".",0.125,"BodakYellow","CardiB","New York","27",0
"1.239","8","1",".","bag",".",0.125,"BodakYellow","CardiB","New York","28",0.125
"1.240","8","0",".","and",".",0.125,"BodakYellow","CardiB","New York","28",0.25
"1.241","8","1",".","fixed",".",0.125,"BodakYellow","CardiB","New York","28",0.375
"1.242","8","0",".","my",".",0.125,"BodakYellow","CardiB","New York","28",0.5
"1.243","4","1",".","teeth",".",0.25,"BodakYellow","CardiB","New York","28",0.75
"1.244","8","1",".","hope","3",0.125,"BodakYellow","CardiB","New York","28",0.875
"1.245","8","0",".","you",".",0.125,"BodakYellow","CardiB","New York","28",0
"1.247","8","1",".","hoes",".",0.125,"BodakYellow","CardiB","New York","29",0.125
"1.248","8","0",".","know",".",0.125,"BodakYellow","CardiB","New York","29",0.25
"1.249","8","1",".","it",".",0.125,"BodakYellow","CardiB","New York","29",0.375
"1.250","8","0",".","ain't",".",0.125,"BodakYellow","CardiB","New York","29",0.5
"1.251","4","1",".","cheap",".",0.25,"BodakYellow","CardiB","New York","29",0.75
"1.252","8","1",".","And","3",0.125,"BodakYellow","CardiB","New York","29",0.875
"1.253","8","0",".","I",".",0.125,"BodakYellow","CardiB","New York","29",0
"1.255","8","1",".","pay",".",0.125,"BodakYellow","CardiB","New York","30",0.125
"1.256","8","0",".","my",".",0.125,"BodakYellow","CardiB","New York","30",0.25
"1.257","8","1",".","ma-",".",0.125,"BodakYellow","CardiB","New York","30",0.375
"1.258","8","0",".","-ma",".",0.125,"BodakYellow","CardiB","New York","30",0.5
"1.259","4","1",".","bills",".",0.25,"BodakYellow","CardiB","New York","30",0.75
"1.260","8","1",".","I","3",0.125,"BodakYellow","CardiB","New York","30",0.875
